YEARA,DATEA,GAME_IDH,TEAMH,PTSH,TEAMA,PTSA,FG_PCTH,FG_PCTA,FT_PCTH,FT_PCTA,FG3_PCTH,FG3_PCTA,ASTH,ASTA,REBH,REBA,TOVH,TOVA,WIN,WINTEAMNAME,WINTEAMNUM
2016,2016-01-06,21500527,WAS,115.0,CLE,121.0,0.553,0.539,0.63,0.684,0.583,0.414,31.0,16.0,33.0,44.0,12.0,10.0,,WAS,0.0
2016,2016-01-06,21500528,BOS,94.0,DET,99.0,0.374,0.446,0.741,0.639,0.214,0.37,23.0,18.0,39.0,47.0,10.0,18.0,,BOS,0.0
2016,2016-01-06,21500529,BKN,74.0,TOR,91.0,0.397,0.438,0.583,0.944,0.313,0.182,18.0,16.0,39.0,49.0,18.0,17.0,,BKN,0.0
2016,2016-01-06,21500530,MIN,74.0,DEN,78.0,0.384,0.358,0.75,0.706,0.273,0.4,23.0,21.0,40.0,46.0,9.0,11.0,,MIN,0.0
2016,2016-01-06,21500531,NOP,91.0,DAL,100.0,0.37,0.425,0.8,0.864,0.233,0.25,22.0,22.0,51.0,52.0,10.0,10.0,,NOP,0.0
2016,2016-01-06,21500532,SAS,123.0,UTA,98.0,0.605,0.468,0.769,0.944,0.429,0.389,34.0,21.0,38.0,34.0,13.0,18.0,,SAS,1.0
2016,2016-01-06,21500533,PHX,111.0,CHA,102.0,0.488,0.437,0.769,0.682,0.576,0.393,25.0,20.0,39.0,44.0,12.0,13.0,,PHX,1.0
2016,2016-01-06,21500534,OKC,112.0,MEM,94.0,0.458,0.389,0.848,0.708,0.471,0.333,20.0,21.0,52.0,39.0,15.0,8.0,,OKC,1.0
2016,2016-01-06,21500535,POR,98.0,LAC,109.0,0.442,0.506,0.565,0.824,0.346,0.478,21.0,24.0,49.0,42.0,13.0,10.0,,POR,0.0
2016,2016-01-07,21500536,PHI,98.0,ATL,126.0,0.453,0.533,0.6,0.789,0.278,0.406,21.0,36.0,43.0,48.0,22.0,16.0,,PHI,0.0
2016,2016-01-07,21500537,CHI,101.0,BOS,92.0,0.415,0.357,0.824,0.773,0.409,0.2,23.0,17.0,54.0,51.0,16.0,11.0,,CHI,1.0
2016,2016-01-07,21500538,HOU,103.0,UTA,94.0,0.52,0.487,0.692,0.647,0.304,0.25,15.0,25.0,41.0,35.0,16.0,19.0,,HOU,1.0
2016,2016-01-07,21500539,SAC,118.0,LAL,115.0,0.553,0.539,0.667,0.862,0.286,0.333,32.0,20.0,37.0,33.0,15.0,18.0,,SAC,1.0
2016,2016-01-08,21500540,WAS,88.0,TOR,97.0,0.393,0.453,0.933,0.923,0.32,0.357,18.0,11.0,35.0,47.0,19.0,22.0,,WAS,0.0
2016,2016-01-08,21500541,BKN,77.0,ORL,83.0,0.397,0.398,0.6,0.667,0.318,0.464,17.0,25.0,41.0,49.0,15.0,14.0,,BKN,0.0
2016,2016-01-08,21500542,MEM,91.0,DEN,84.0,0.366,0.368,0.767,0.842,0.444,0.211,14.0,19.0,43.0,59.0,7.0,17.0,,MEM,1.0
2016,2016-01-08,21500543,MIN,99.0,CLE,125.0,0.456,0.531,0.769,0.897,0.438,0.481,24.0,23.0,33.0,43.0,12.0,11.0,,MIN,0.0
2016,2016-01-08,21500544,NOP,86.0,IND,91.0,0.373,0.444,0.75,0.737,0.31,0.238,21.0,21.0,37.0,54.0,15.0,24.0,,NOP,0.0
2016,2016-01-08,21500545,MIL,96.0,DAL,95.0,0.463,0.417,0.621,0.688,0.444,0.318,24.0,27.0,43.0,42.0,15.0,16.0,,MIL,1.0
2016,2016-01-08,21500546,SAS,100.0,NYK,99.0,0.441,0.418,0.824,0.824,0.308,0.429,23.0,19.0,49.0,44.0,8.0,8.0,,SAS,1.0
2016,2016-01-08,21500547,PHX,95.0,MIA,103.0,0.435,0.493,0.692,0.8,0.25,0.389,15.0,23.0,46.0,41.0,14.0,10.0,,PHX,0.0
2016,2016-01-08,21500548,POR,108.0,GSW,128.0,0.396,0.529,0.714,0.857,0.364,0.563,21.0,36.0,45.0,48.0,9.0,15.0,,POR,0.0
2016,2016-01-08,21500549,LAL,113.0,OKC,117.0,0.476,0.506,0.96,0.846,0.346,0.294,19.0,17.0,34.0,45.0,11.0,13.0,,LAL,0.0
